ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,defeated_mp,former_mp
S14000110,Kilmarnock and Loudoun,Scotland,Scotland,County,05-07-2024 01:56,Lab gain from SNP,SNP,Scottish National Party,,Alan,Brown,,4470,Male,Yes,Yes
E14001324,Leeds South West and Morley,Yorkshire and The Humber,England,Borough,05-07-2024 05:33,Lab gain from Con,Con,Conservative,Dame,Andrea,Jenkyns,Marie,4490,Female,Yes,Yes
E14001326,Leicester East,East Midlands,England,Borough,05-07-2024 02:33,Con gain from Lab,Ind,Independent,,Claudia,Webbe,Naomi,4848,Female,Yes,Yes
E14001327,Leicester South,East Midlands,England,Borough,05-07-2024 02:46,Ind gain from Lab,Lab,Labour,,Jonathan,Ashworth,Michael Graham,4244,Male,Yes,Yes
E14001330,Lewes,South East,England,County,05-07-2024 05:01,LD gain from Con,Con,Conservative,,Maria,Caulfield,Colette,4492,Female,Yes,Yes
E14001335,Lichfield,West Midlands,England,County,05-07-2024 02:58,Lab gain from Con,Con,Conservative,Sir,Michael,Fabricant,Louis David,280,Male,Yes,Yes
E14001336,Lincoln,East Midlands,England,Borough,05-07-2024 03:26,Lab gain from Con,Con,Conservative,,Karl,McCartney,Ian,4028,Male,Yes,Yes
S14000095,Livingston,Scotland,Scotland,County,05-07-2024 03:37,Lab gain from SNP,SNP,Scottish National Party,,Hannah,Bardell,Mary,4486,Female,Yes,Yes
E14001342,Loughborough,East Midlands,England,County,05-07-2024 04:36,Lab gain from Con,Con,Conservative,,Jane,Hunt,Marion,4839,Female,Yes,Yes
E14001344,Lowestoft,East of England,England,County,05-07-2024 05:09,Lab gain from Con,Con,Conservative,,Peter,Aldous,James Guy,4069,Male,Yes,Yes
E14001347,Macclesfield,North West,England,County,05-07-2024 04:46,Lab gain from Con,Con,Conservative,,David,Rutley,Henry,4033,Male,Yes,Yes
E14001355,Mansfield,East Midlands,England,County,05-07-2024 03:57,Lab gain from Con,Con,Conservative,,Ben,Bradley,David,4663,Male,Yes,Yes
E14001356,Melksham and Devizes,South West,England,County,05-07-2024 04:47,LD gain from Con,Con,Conservative,,Michelle,Donelan,Emma May Elizabeth,4530,Female,Yes,Yes
W07000100,Mid and South Pembrokeshire,Wales,Wales,County,05-07-2024 03:02,Lab gain from Con,Con,Conservative,,Stephen,Crabb,,1554,Male,Yes,Yes
E14001363,Mid Dorset and North Poole,South West,England,County,05-07-2024 05:44,LD gain from Con,Con,Conservative,,Michael,Tomlinson,James,4497,Male,Yes,Yes
S14000097,Mid Dunbartonshire,Scotland,Scotland,County,05-07-2024 03:57,LD gain from SNP,SNP,Scottish National Party,,Amy,Callaghan,,4770,Female,Yes,Yes
E14001368,Middlesbrough South and East Cleveland,North East,England,County,05-07-2024 03:19,Lab gain from Con,Con,Conservative,Sir ,Simon,Clarke,Richard,4655,Male,Yes,Yes
S14000045,Midlothian,Scotland,Scotland,County,05-07-2024 03:02,Lab gain from SNP,SNP,Scottish National Party,,Owen,Thompson,George,4482,Male,Yes,Yes
E14001370,Milton Keynes North,South East,England,County,05-07-2024 03:37,Lab gain from Con,Con,Conservative,,Ben,Everitt,William,4836,Male,Yes,Yes
W07000101,Monmouthshire,Wales,Wales,County,05-07-2024 04:52,Lab gain from Con,Con,Conservative,,David,Davies,Thomas Charles,1545,Male,Yes,Yes
W07000102,Montgomeryshire and Glyndwr,Wales,Wales,County,05-07-2024 04:11,Lab gain from Con,Con,Conservative,,Craig,Williams,,4438,Male,Yes,Yes
E14001372,Morecambe and Lunesdale,North West,England,County,05-07-2024 04:27,Lab gain from Con,Con,Conservative,,David,Morris,Thomas,4135,Male,Yes,Yes
S14000099,"Motherwell, Wishaw and Carluke",Scotland,Scotland,County,05-07-2024 03:12,Lab gain from SNP,SNP,Scottish National Party,,Marion,Fellows,,4440,Female,Yes,Yes
S14000027,Na h-Eileanan an Iar,Scotland,Scotland,County,05-07-2024 04:20,Lab gain from SNP,Ind,Independent,,Angus,MacNeil,Brendan,1546,Male,Yes,Yes
E14001376,Newbury,South East,England,County,05-07-2024 05:18,LD gain from Con,Con,Conservative,,Laura,Farris,Rose,4826,Female,Yes,Yes
E14001381,Newton Abbot,South West,England,County,05-07-2024 02:38,LD gain from Con,Con,Conservative,,Anne Marie,Morris,,4249,Female,Yes,Yes
E14001382,Newton Aycliffe and Spennymoor,North East,England,County,05-07-2024 02:24,Lab gain from Con,Con,Conservative,,Paul,Howell,,4830,Male,Yes,Yes
N05000012,North Antrim,Northern Ireland,Northern Ireland,County,05-07-2024 06:08,TUV gain from DUP,DUP,Democratic Unionist Party,,Ian,Paisley,Richard Kyle,4129,Male,Yes,Yes
S14000048,North Ayrshire and Arran,Scotland,Scotland,County,05-07-2024 03:24,Lab gain from SNP,SNP,Scottish National Party,,Patricia,Gibson,,4435,Female,Yes,Yes
E14001385,North Cornwall,South West,England,County,05-07-2024 06:16,LD gain from Con,Con,Conservative,,Scott,Mann,Leslie,4496,Male,Yes,Yes
E14001387,North Devon,South West,England,County,05-07-2024 03:43,LD gain from Con,Con,Conservative,,Selaine,Saxby,Rachel,4863,Female,Yes,Yes
N05000013,North Down,Northern Ireland,Northern Ireland,County,05-07-2024 04:21,Ind gain from Alliance,Alliance,Alliance,,Stephen,Farry,Anthony,4856,Male,Yes,Yes
E14001391,North East Derbyshire,East Midlands,England,County,05-07-2024 04:19,Lab gain from Con,Con,Conservative,,Lee,Rowley,Benjamin,4652,Male,Yes,Yes
E14001392,North East Hampshire,South East,England,County,05-07-2024 04:45,LD gain from Con,Con,Conservative,,Ranil,Jayawardena,Malcolm,4498,Male,Yes,Yes
E14001394,North East Somerset and Hanham,South West,England,County,05-07-2024 05:26,Lab gain from Con,Con,Conservative,Sir,Jacob,Rees-Mogg,William,4099,Male,Yes,Yes
